column,count,mean,std,min,25%,50%,75%,max,count,top,freq,unique,unique,type,nulls
IMPACTYPE,null,null,null,null,null,null,null,null,17484,Pedestrian Collisions,6977,"['Approaching' 'Other' 'Cyclist Collisions' 'Pedestrian Collisions'
 'Rear End' 'Angle' 'SMV Other' 'Turning Movement' 'Sideswipe'
 'SMV Unattended Vehicle' nan]",10,object,0
INVTYPE,null,null,null,null,null,null,null,null,17474,Driver,7922,"['Passenger' 'Driver' 'Vehicle Owner' 'Cyclist' 'Pedestrian'
 'Truck Driver' 'Other Property Owner' 'Motorcycle Driver'
 'Motorcycle Passenger' nan 'Other' 'In-Line Skater' 'Driver - Not Hit'
 'Moped Driver' 'Wheelchair' 'Pedestrian - Not Hit' 'Trailer Owner'
 'Witness' 'Cyclist Passenger' 'Moped Passenger']",19,object,1611
INVAGE,null,null,null,null,null,null,null,null,17488,unknown,2587,"['50 to 54' '15 to 19' '55 to 59' '20 to 24' 'unknown' '45 to 49'
 '30 to 34' '35 to 39' '25 to 29' '40 to 44' '70 to 74' '60 to 64'
 '10 to 14' '75 to 79' '5 to 9' '85 to 89' '0 to 4' '65 to 69' '80 to 84'
 'Over 95' '90 to 94']",21,float64,16715
INJURY,null,null,null,null,null,null,null,null,15877,None,6662,['Major' 'Minor' nan 'None' 'Minimal' 'Fatal'],5,object,4937
INITDIR,null,null,null,null,null,null,null,null,12551,East,3131,[nan 'North' 'South' 'East' 'West' 'Unknown'],5,object,3033
VEHTYPE,null,null,null,null,null,null,null,null,14455,"Automobile, Station Wagon",7163,"[nan 'Other' 'Automobile, Station Wagon' 'Bicycle'
 'Municipal Transit Bus (TTC)' 'Truck - Open' 'Motorcycle' 'Taxi'
 'Passenger Van' 'Delivery Van' 'Moped' 'Pick Up Truck' 'Police Vehicle'
 'Truck-Tractor' 'Truck - Closed (Blazer, etc)' 'Street Car'
 'Truck - Dump' 'Bus (Other) (Go Bus, Gray Coach)' 'Intercity Bus'
 'Construction Equipment' 'Truck (other)' 'Truck - Tank'
 'Off Road - 2 Wheels' 'Other Emergency Vehicle' 'Fire Vehicle'
 'School Bus' 'Tow Truck' 'Truck - Car Carrier' 'Ambulance'
 'Railway Train' 'Off Road - 4 Wheels']",30,object,7405
MANOEUVER,null,null,null,null,null,null,null,null,10083,Going Ahead,6005,"[nan 'Going Ahead' 'Turning Right' 'Stopped' 'Turning Left' 'Overtaking'
 'Reversing' 'Other' 'Slowing or Stopping'
 'Pulling Away from Shoulder or Curb' 'Parked' 'Changing Lanes'
 'Pulling Onto Shoulder or towardCurb' 'Making U Turn' 'Unknown' 'Merging'
 'Disabled']",16,object,8666
DRIVACT,null,null,null,null,null,null,null,null,8822,Driving Properly,4036,"[nan 'Driving Properly' 'Lost control' 'Failed to Yield Right of Way'
 'Improper Passing' 'Improper Turn' 'Exceeding Speed Limit'
 'Disobeyed Traffic Control' 'Following too Close' 'Other'
 'Improper Lane Change' 'Wrong Way on One Way Road'
 'Speed too Fast For Condition' 'Speed too Slow']",13,object,8669
DRIVCOND,null,null,null,null,null,null,null,null,8819,Normal,5603,"[nan 'Normal' 'Ability Impaired, Alcohol Over .08' 'Unknown' 'Inattentive'
 'Had Been Drinking' 'Medical or Physical Disability'
 'Ability Impaired, Alcohol' 'Fatigue' 'Other' 'Ability Impaired, Drugs']",10,object,14567
PEDTYPE,null,null,null,null,null,null,null,null,2921,Pedestrian hit at mid-block,732,"[nan
 'Pedestrian involved in a collision with transit vehicle anywhere along roadway'
 'Pedestrian hit at mid-block' 'Unknown'
 'Vehicle is going straight thru inter.while ped cross without ROW'
 'Pedestrian hit on sidewalk or shoulder'
 'Vehicle is going straight thru inter.while ped cross with ROW'
 'Vehicle turns left while ped crosses with ROW at inter.'
 'Vehicle turns left while ped crosses without ROW at inter.'
 'Vehicle turns right while ped crosses with ROW at inter.'
 'Vehicle hits the pedestrian walking or running out from between parked vehicles at mid-block'
 'Other / Undefined' 'Pedestrian hit a PXO/ped. Mid-block signal'
 'Vehicle turns right while ped crosses without ROW at inter.'
 'Vehicle is reversing and hits pedestrian'
 'Pedestrian hit at private driveway' 'Pedestrian hit at parking lot']",16,object,14531
